LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000001,0.595,10,0.213,Positive,4.32,7422
E01000002,0.586,20,0.162,Positive,4.365,18281
E01000005,0.569,10,0.076,Neutral,4.28,4378
E01000580,0.635,2,0.001,Positive,4.3,126
E01000779,0.639,1,,Positive,4.2,37
E01000780,0.565,1,,Neutral,4.2,29
E01000842,0.333,2,0.001,Very Negative,5.0,2
E01000849,0.738,2,0.001,Very Positive,5.0,2
E01000850,0.64,2,0.098,Neutral,4.35,58
E01000851,0.498,7,0.238,Neutral,3.7,2079
E01000852,0.62,6,0.096,Positive,4.5,392
E01000853,0.678,10,0.143,Neutral,4.1,31150
E01000854,0.556,7,0.263,Neutral,4.543,2914
E01000855,0.664,14,0.102,Very Positive,4.514,842021
E01000858,0.727,3,0.066,Very Positive,3.733,16878
E01000861,0.676,3,0.03,Positive,4.4,202
E01000863,0.591,4,0.046,Neutral,4.45,1147
E01000865,0.814,1,,Very Positive,5.0,7
E01000867,0.482,1,,Negative,4.3,4
E01000914,0.75,13,0.163,Very Positive,4.162,15164
E01000916,0.699,6,0.007,Positive,4.8,3714
E01000918,0.828,2,0.013,Very Positive,2.65,500
E01000919,0.592,7,0.061,Positive,4.343,7943
E01000920,0.673,1,,Positive,4.6,2206
E01000927,0.511,2,0.0,Neutral,4.7,6
E01000937,0.583,3,0.015,Neutral,3.133,1228
E01000938,0.505,3,0.356,Very Negative,5.0,3
E01000939,0.597,4,0.01,Neutral,4.0,248
E01000942,0.586,3,0.013,Neutral,4.4,760
E01000944,0.533,10,0.074,Neutral,3.69,89
E01000945,0.467,11,0.173,Negative,4.091,18775
E01000946,0.626,7,0.115,Neutral,4.2,865
E01000947,0.418,7,0.299,Positive,3.929,5616
E01000948,0.719,1,,Very Positive,4.7,54
E01000949,0.496,2,0.083,Negative,4.75,6
E01000950,0.564,1,,Neutral,5.0,1
E01000951,0.584,1,,Neutral,1.0,1
E01000952,0.804,1,,Very Positive,5.0,2
E01000953,0.623,27,0.069,Neutral,4.463,51185
E01000955,0.689,4,0.075,Very Positive,4.8,97
E01000959,0.694,2,0.008,Positive,4.3,368
E01000963,0.78,1,,Very Positive,3.6,133
E01000967,0.698,4,0.005,Positive,4.7,55140
E01000972,0.531,1,,Neutral,4.1,5193
E01001580,0.627,2,0.094,Neutral,4.5,45
E01001581,0.575,2,0.042,Neutral,5.0,2
E01001588,0.649,4,0.075,Positive,4.35,489
E01001589,0.638,1,,Positive,4.3,3209
E01001590,0.623,1,,Positive,5.0,6
E01001593,0.617,1,,Positive,4.5,20
E01001595,0.645,1,,Positive,4.4,1538
E01001597,0.0,2,0.0,Very Negative,5.0,2
E01001615,0.667,2,0.011,Positive,4.6,8896
E01001641,0.633,10,0.072,Positive,4.28,41803
E01001642,0.552,12,0.193,Positive,4.208,141710
E01001644,0.718,3,0.127,Very Positive,3.867,67
E01001648,0.533,1,,Neutral,3.1,23
E01001651,0.606,3,0.072,Neutral,4.567,374
E01001652,0.738,1,,Very Positive,4.7,38
E01001654,0.665,2,0.005,Positive,4.5,310
E01001666,0.569,1,,Neutral,4.2,5115
E01001667,0.563,9,0.067,Neutral,4.156,22647
E01001699,0.771,1,,Very Positive,5.0,1
E01001701,0.679,2,0.115,Neutral,2.8,1214
E01001705,0.415,1,,Negative,3.2,6
E01001709,0.609,6,0.115,Neutral,4.6,3243
E01001710,0.513,1,,Neutral,4.7,23
